ACCE_ABSORB_COST	Costo dell'assorbimento: %d
PRIVATESHOPSEARCH_COSTUME_MOUNT	Cavalcatura
PRIVATESHOPSEARCH_CRYSTAL	Cristallo
PRIVATESHOPSEARCH_DAGGER	Pugnali
PRIVATESHOPSEARCH_DEAD	senza vita
PRIVATESHOPSEARCH_DETACHMENT	Libro delle pietre
PRIVATESHOPSEARCH_DIAMOND	Diamante
PRIVATESHOPSEARCH_DS	Alchimia delle Pietre del drago
PRIVATESHOPSEARCH_DS_BLACK	Onice
PRIVATESHOPSEARCH_DS_BLUE	Zaffiro
PRIVATESHOPSEARCH_DS_GREEN	Giada
PRIVATESHOPSEARCH_DS_RED	Rubino
PRIVATESHOPSEARCH_DS_WHITE	Diamante
PRIVATESHOPSEARCH_DS_YELLOW	Granato
PRIVATESHOPSEARCH_EAR	Orecchini
PRIVATESHOPSEARCH_FAN	Ventagli
PRIVATESHOPSEARCH_FISH	Pesci
PRIVATESHOPSEARCH_FOOTS	Scarpe
PRIVATESHOPSEARCH_GEM	Pietre preziose
PRIVATESHOPSEARCH_GIFTBOX	Pacchi regalo
PRIVATESHOPSEARCH_HEAD	Elmi
PRIVATESHOPSEARCH_LIVE	in vita
PRIVATESHOPSEARCH_MATERIAL	Materiali
PRIVATESHOPSEARCH_METIN	Pietre spirituali
PRIVATESHOPSEARCH_NECK	Collane
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Se non hai il fagotto giusto, non puoi comprare nessun oggetto.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Se non hai il fagotto giusto, non puoi cercare nessun oggetto.
PRIVATESHOPSEARCH_NODELAY_POTION	Oggetti HP
PRIVATESHOPSEARCH_ORE	Minerale
PRIVATESHOPSEARCH_PET	Sistema dei pet
PRIVATESHOPSEARCH_PETAGG	Uova del pet
PRIVATESHOPSEARCH_PETSKILLBOOK	Libri delle abilità del pet
PRIVATESHOPSEARCH_PICK	Picconi
PRIVATESHOPSEARCH_POTION	Pozioni
PRIVATESHOPSEARCH_QUEST	Missione
PRIVATESHOPSEARCH_QUIVER	Faretre per frecce
PRIVATESHOPSEARCH_RESOURCE	Miglioramento oggetti
PRIVATESHOPSEARCH_ROD	Pesca
PRIVATESHOPSEARCH_SELECTITEM	Oggetto selezionato
PRIVATESHOPSEARCH_SHIELD	Scudi
PRIVATESHOPSEARCH_SKILLBOOK	Libri delle abilità
PRIVATESHOPSEARCH_SKILLFORGET	Libro dell'amnesia
PRIVATESHOPSEARCH_SPECIAL	Varie
PRIVATESHOPSEARCH_STONE	Scaglia di energia
PRIVATESHOPSEARCH_SWORD	Spada a una mano
PRIVATESHOPSEARCH_TREASUREBOX	Bauli
PRIVATESHOPSEARCH_TUNING	Papiri
PRIVATESHOPSEARCH_TWOSWORD	Spada a due mani
PRIVATESHOPSEARCH_UNIQUE	Unico
PRIVATESHOPSEARCH_USEITEM	Beni di consumo
PRIVATESHOPSEARCH_USESPECIAL	Varie
PRIVATESHOPSEARCH_WEAPON	Armi
PRIVATESHOPSEARCH_WHITE_PEARL	Perla bianca
PRIVATESHOPSEARCH_WRIST	Bracciali
PRIVATE_SHOP_CANNOT_SELL_ITEM	Non puoi vendere questo oggetto in un neegozio privato.
PRIVATE_SHOP_CLOSE_QUESTION	Desideri chiudere il negozio privato?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Nome del negozio privato
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prezzo
PVP_LEVEL0	Cavaliere
PVP_LEVEL1	Nobile
PVP_LEVEL2	Buono
PVP_LEVEL3	Gentile
PVP_LEVEL4	Neutrale
PVP_LEVEL5	Aggressivo
PVP_LEVEL6	Perfido
PVP_LEVEL7	Maligno
PVP_LEVEL8	Crudele
PVP_MODE_GUILD	La Gilda PvP è stata attivata.
PVP_MODE_KILL	PvP - Libero attivato.
PVP_MODE_NORMAL	PvP - Pace attivato.
PVP_MODE_PROTECT	PvP - Protezione attivato.
PVP_MODE_REVENGE	PvP - Nemico attivato.
PVP_OPTION_KILL	Libero
PVP_OPTION_NORMAL	Pace
PVP_OPTION_PROTECT	Protezione
PVP_OPTION_REVENGE	Nemico
PVP_TOURNAMENT_DO_NOT_AUTO	Non puoi usare l'attacco automatico durante il torneo PvP.
QUEST_APPEND	È stata formulata una nuova missione.
QUEST_HOUR	Ora/e
QUEST_MIN	Min.
QUEST_SEC	Sec.
QUEST_TIMEOVER	Tempo scaduto
QUEST_UNLIMITED_TIME	Non c'è limite di tempo
QUEST_ZEROSEC	0 Sec.
QUICKSLOT_REGISTER_DISABLE_ITEM	Questo oggetto non può essere inserito nei campi di utilizzo rapido.
RANKING	Rango
RANKING_BOARD_MEMBER	Membri
RECEIVE_MESSAGE	%s ti ha mandato un messaggio.
REFINE_COST	Costo del miglioramento: %d Yang
REFINE_DESTROY_WARNING	L'oggetto potrebbe essere distrutto durante il miglioramento.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Vuoi veramente effettuare l'upgrade dell'oggetto?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	In caso di fallimento l'oggetto sarà distrutto. Desideri continuare?
REFINE_DOWN_GRADE_WARNING	L'oggetto durante il miglioramento potrebbe peggiorare.
REFINE_DO_YOU_SEPARATE_METIN	Desideri rimuovere tutte le Pietre Spirituali?
REFINE_ELEMENT_CHANGE_TEXT	Ora %s possiede l'elemento %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	Il livello dell'incantesimo elementale è stato ridotto.
REFINE_ELEMENT_EXIST	L'oggetto possiede già un altro elemento.
REFINE_ELEMENT_GRADE_MAX	Il livello massimo dell'incantesimo elementale è già stato raggiunto.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	L'incantesimo elementale è disponibile solo per le armi di livello +7 o superiore.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Non hai abbastanza Yang.
REFINE_ELEMENT_NOT_EXSIT	Non si può utilizzare con questo oggetto.
REFINE_ELEMENT_TEXT_DARK	Oscurità +%d
REFINE_ELEMENT_TEXT_EARTH	Terra + %d
REFINE_ELEMENT_TEXT_ELECT	Lampo +%d
REFINE_ELEMENT_TEXT_FIRE	Fuoco +%d
REFINE_ELEMENT_TEXT_ICE	Ghiaccio +%d
REFINE_ELEMENT_TEXT_WIND	Vento +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	L'incantesimo elementale è fallito.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	L'incantesimo elementale è riuscito.
REFINE_FAILURE	Non è andata... Non ce l'abbiamo fatta.
REFINE_FAILURE_CAN_NOT_ATTACH	%s questo oggetto non può essere inserito.
REFINE_FAILURE_DEL_ITEM	Il raffinamento non ha avuto successo. L'oggetto è stato distrutto.
REFINE_FAILURE_EQUIP_ITEM	Non puoi migliorare gli oggetti in uso.
REFINE_FAILURE_GRADE_DOWN	Il raffinamento non ha avuto successo. Il grado dell'oggetto è stato ridotto.
REFINE_FAILURE_KEEP_GRADE	Il raffinamento non ha avuto successo. Fortunatamente, l'oggetto è stato preservato.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Nessuna Pietra Spirituale può essere tolta.
REFINE_FAILURE_NEED_BETTER_SCROLL	Ti serve un migliore papiro del miglioramento .
REFINE_FAILURE_NO_GOLD_SOCKET	Non hai nessuna montatura d'oro per inserire %s.
REFINE_FAILURE_NO_MORE_SOCKET	Non puoi creare altre montature.
REFINE_FAILURE_NO_SOCKET0	Non hai nessuna montatura per inserire %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Su questo oggetto non può essere creata una montatura.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Questo oggetto non può essere migliorato.
REFINE_SUCCESS	Il miglioramento è riuscito con successo.
REFINE_SUCCESS_PROBALITY	Probabilità di miglioramento: %d%%
REFINE_WARNING2	Desideri continuare?
RESTART_POPUP_GIVEUP_MIST_ISLAND	Hai perso nella Battaglia dei 5 Santuari. Ripartirai dal villaggio.
REVIVE_QUESTION	Vuoi rianimare %s? Quantità Prisma del risveglio: %d unità
REVIVE_SELF_QUESTION	Vuoi eseguire una rianimazione? Quantità Prisma del risveglio: %d unità
ROULETTE_REWARD_TEXT	Oggetto ricevuto
SAFEBOX_ERROR	Hai inserito la password sbagliata.
SAFEBOX_NEED_CHANGE_PASSWORD	La tua password è scaduta.\nImpostane una nuova.
SAFEBOX_SELL_DISABLE_SAFEITEM	Non puoi vendere gli oggetti salvati.
SAFEBOX_UNAVILABLE_PASSWORD_01	Non puoi usare questa password.
SAFEBOX_UNAVILABLE_PASSWORD_02	La password deve contenere almeno %d caratteri.
SAFEBOX_UNAVILABLE_PASSWORD_03	Hai inserito la tua password attuale. Scegli una nuova password.
SAFEBOX_UNAVILABLE_PASSWORD_04	La tua password non può contenere %d cifre uguali o posizionate di seguito l'una all'altra.
SAFEBOX_UNAVILABLE_PASSWORD_05	Non sono ammessi caratteri speciali. Caratteri ammessi: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Le password devono essere identiche.
SCREENSHOT_SAVE1	È salvato in
SCREENSHOT_SAVE2	Cartella degli Screenshot
SCREENSHOT_SAVE_FAILURE	Salvataggio dello screenshot fallito.
SECOND	Sec
SECOND_CONFIRM_PET_FEED_QUESTION_1	L'oggetto possiede %d o più bonus.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Vuoi davvero darlo in pasto al tuo pet?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	L'oggetto possiede %d o più bonus.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Vuoi davvero venderlo?
SELECT_ATTR_NOTICE	Non puoi aprire un negozio privato mentre l'item Incanta oggetto+ è in uso.
SELECT_ATTR_NOT_OPEN	Non puoi utilizzare l'item Incanta oggetto+ mentre hai un negozio privato aperto.
SELECT_ATTR_NOT_SELECT	Scegli se mantenere i bonus o scambiarli.
SELECT_CAN_NOT_DELETE	Non puoi cancellare il personaggio.
SELECT_CAN_NOT_DELETE_ATTR67	Non si può eliminare un personaggio\n mentre si sta aggiungendo un bonus.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Non puoi eliminare il tuo personaggio finché fa parte di una gilda.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Non puoi eliminare il tuo personaggio finché possiede item legati all'anima.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Non puoi eliminare il tuo unico personaggio finché hai ancora item nel tuo magazzino.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Puoi eliminare il tuo personaggio solo fino al livello 69.
SELECT_CAN_NOT_DELETE_MARRIAGE	Non puoi eliminare un personaggio sposato.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Il codice per l'eliminazione non era corretto.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Non puoi eliminare questo personaggio subito dopo averlo creato. Periodo d'attesa: %s
SELECT_CHANGED_NAME	Hai modificato il nome del personaggio.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Il nome del personaggio esiste già.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Riprovaci.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Questo nome del personaggio è errato
SELECT_CHANGE_NAME_TITLE	Modifica il nome del personaggio
SELECT_DELEING	Il personaggio sta per essere cancellato.
SELECT_DELETED	Cancellato con successo
SELECT_DO_YOU_DELETE_REALLY	Desideri continuare?
SELECT_EMPTY_SLOT	Questo è un campo vuoto
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Inserisci un nuovo nome del personaggio.
SELECT_NOT_JOIN_GUILD	Nessuna Gilda
SERVER_NOTIFY_CLOSED	Server chiuso: vi possono accedere solo account con status VIP o account creati prima della chiusura.
SERVER_STATUS_CLOSE	CHIUSO
SERVER_STATUS_NEW	NOVITÀ
SERVER_STATUS_SPECIAL	SPECIALE
SHOP_BUY_INFO	Scegli dalla vetrina l'oggetto che vorresti acquistare.
SHOP_CANNOT_SELL_EQUIPMENT	Non puoi vendere degli oggetti in uso.
SHOP_CANNOT_SELL_ITEM	Questto oggetto non è in vendita
SHOP_ERROR_UNKNOWN	Errore di caricamento sconosciuto: %s
SHOP_EXCEED_LIMIT_TODAY	Hai già superato il limite giornaliero per l'utilizzo dei punti.
SHOP_INVALID_POS	Questo oggetto non è adatto.
SHOP_INVENTORY_FULL	Nel magazzino non c'è più posto.
SHOP_LIMITED_DATA_LOADING	I dati verranno caricati a breve. Riprova più tardi.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Oggetti rimanenti: %d
SHOP_LIMITED_PURCHASE_OVER	Esaurito
SHOP_LIMIT_TODAY	Limite giornaliero: %d / %d
SHOP_MY_BATTLE_POINT	Punti battaglia: %d
SHOP_MY_MEDAL_OF_HONOR	Medaglia del coraggio: %d
SHOP_NOT_ENOUGH_10TH_COIN	Non hai abbastanza Monete dell'anniversario.
SHOP_NOT_ENOUGH_BATTLE_POINT	Non hai abbastanza punti battaglia.
SHOP_NOT_ENOUGH_BNW	Non hai abbastanza Monete Veggenza.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Il livello della gilda è troppo basso.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Non hai abbastanza Medaglie del coraggio.
SHOP_NOT_ENOUGH_MONEY	Non hai abbastanza Won o Yang
SHOP_NOT_ENOUGH_MONEY_EX	Non hai Yang a sufficienza.
SHOP_SELL_INFO	Scegli dal tuo inventario l'oggetto che vuoi vendere.
SHOP_SOLDOUT	Esaurito
SHOT_ERROR_UNKNOWN	Errore sconosciuto nell'attacco a distanza: %s
SKILL_BLEEDING	Emorragia
SKILL_BOHO	Riflettere
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Ti serve EXP per imparare questa abilità.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Ti serve un libro per imparare questa abilità.
SKILL_CHEONGEUN	Corpo forte
SKILL_CRITICAL	Colpo critico
SKILL_ENCHANT_POISON	Applica il veleno
SKILL_EUNHYEONG	Camuffamento
SKILL_FAINT	Svenimento
SKILL_FIND_TRAP	Cerca trappola
SKILL_FIRE	Fuoco duraturo
SKILL_FISHMIND	La palla di pesce è usata.
SKILL_GAMJI	Mirare
SKILL_GEOMGYEONG	Aura della spada
SKILL_GICHEON	Aiuto del drago
SKILL_GIGONG	Rotazione Chi
SKILL_GONGPO	Terrore
SKILL_GRADE_NAME_GRAND_MASTER	%s Gran Maestro
SKILL_GRADE_NAME_MASTER	%s Maestro
SKILL_GRADE_NAME_PERFECT_MASTER	%s Maestro perfetto
SKILL_GROUP_ASSASSIN_1	Lama
SKILL_GROUP_ASSASSIN_2	Arco
SKILL_GROUP_HORSE	Equitazione
SKILL_GROUP_SHAMAN_1	Drago
SKILL_GROUP_SHAMAN_2	Guarigione
SKILL_GROUP_SURA_1	Armi
SKILL_GROUP_SURA_2	Magia
SKILL_GROUP_WARRIOR_1	Corpo
SKILL_GROUP_WARRIOR_2	Mentale
SKILL_GWIGEOM	Lama incantata
SKILL_GYEONGGONG	Passo piumato
SKILL_HEUKSIN	Protezione oscura
SKILL_HOSIN	Benedizione
SKILL_INC_ATKSPD	Velocità di attacco aumentata
SKILL_INC_MOVSPD	Velocità di movimento aumentata
SKILL_JEOJU	Maledizione
SKILL_JEONGEOP	Guarire
SKILL_JEONGWI	Estasi da combattimento
SKILL_JEONSINBANGEO	Difesa piena
SKILL_JEONSINGONGGYEOK	Attacco pieno
SKILL_JEUNGRYEOK	Attacco +
SKILL_JEUNGSOK	Vlocità +
SKILL_JUMAGAP	Armatura incantata
SKILL_KWAESOK	Velocità
SKILL_MUYEONG	Spirito della fiamma
SKILL_NEED_EMPTY_BOTTLE	Non ho altre bottiglie vuote.
SKILL_NEED_POISON_BOTTLE	Non ho bottiglie di veleno.
SKILL_ONLY_FOR_GUILD_WAR	Puoi usare questa abilità solo nella guerra tra Gilde.
SKILL_PABEOP	Annullamento magia
SKILL_POWERFUL_STRIKE	Attacco anestetizzante
SKILL_SEOMGWANG	Bomba lampo
SKILL_SLEEP	Sonno
SKILL_SLOW	Lento
SKILL_STUN	Anestetizzare
SKILL_SUHO	Guardiano
SKILL_SUMMON_DESCRIPTION	Possibilità di evocazione: %d%%
SKILL_TOOLTIP_INT	Intelligenza
SKILL_TOOLTIP_LEVEL	Livello
SKILL_TOXICDIE	Avvelenamento
SKILL_TOXICPOWER	Valore di avvelenamento migliorato
SKILL_TUSOK	Colpo dello spirito
SOUL_ITEM_TOOLTIP_APPLY	Effetto attivato
SOUL_ITEM_TOOLTIP_BLUE1	Tempo di gioco: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Quando si raggiunge il tempo di gioco il danno dell'abilità incrementa di %.1f volta/e.
SOUL_ITEM_TOOLTIP_COMMON	Non vale per: PvP, Trasformazione
SOUL_ITEM_TOOLTIP_RED1	Tempo di gioco: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Quando si raggiunge il tempo di gioco il danno dell'abilità incrementa di %.1f volta/e.
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Attacchi rimanenti: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	L'anima si spegne tra
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effetto non attivato
SOUL_REFINE_FAILURE	L'evoluzione non è andata buon fine.
SOUL_REFINE_SUCCESS	Evoluzione compiuta con successo!
STAT_MINUS_CON	Adattamento della vitalità (Possibilità rimaste: %d)
STAT_MINUS_DEX	Adattamento della destrezza (Possibilità rimaste: %d)
STAT_MINUS_INT	Adattamento dell'intelligenza (Possibilità rimaste: %d)
STAT_MINUS_STR	Adattamento della forza (Possibilità rimaste: %d)
STAT_TOOLTIP_CON	HP e Difesa aumentati
STAT_TOOLTIP_DEX	Precisione e Fuga aumentati
STAT_TOOLTIP_INT	MP e Difesa-Attacco magici aumentati
STAT_TOOLTIP_STR	Valori Attacco e Danno migliorati
SYMBOLLIST_TITLE	Registrare la bandiera della Gilda
TARGET_BUTTON_ACCEPT_FIGHT	Accetta
TARGET_BUTTON_AVENGE	Vendetta
TARGET_BUTTON_BLOCK	Blocca
TARGET_BUTTON_BLOCK_REMOVE	Sblocca
TARGET_BUTTON_BUILDING_DESTROY	Distruggi
TARGET_BUTTON_DISMOUNT	Scendi
TARGET_BUTTON_EMOTION_ALLOW	Emozioni
TARGET_BUTTON_EXCHANGE	Commercia
TARGET_BUTTON_EXCLUDE	Escludi
TARGET_BUTTON_EXIT_OBSERVER	Termina la modalità spettatore
TARGET_BUTTON_FIGHT	Duello
TARGET_BUTTON_FRIEND	Amico
TARGET_BUTTON_INVITE_GUILD	Invito Gilda.
TARGET_BUTTON_INVITE_PARTY	Invito Gruppo.
TARGET_BUTTON_LEAVE_PARTY	Lascia gruppo
TARGET_BUTTON_REQUEST_ENTER_PARTY	Entra nel gruppo
TARGET_BUTTON_REVIVE	Resuscita
TARGET_BUTTON_VIEW_EQUIPMENT	Armatura
TARGET_BUTTON_WHISPER	Chat privata
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Grado 5
TARGET_LEVEL_KNIGHT	Grado 3
TARGET_LEVEL_PAWN	Grado 1
TARGET_LEVEL_S_KNIGHT	Grado 4
TARGET_LEVEL_S_PAWN	Grado 2
TARGET_TOOLTIP_ATTACK_COUNT	Punteggio totale: %d
TASKBAR_ATTACK	Attacca
TASKBAR_AUTO	Attacca automaticamente
TASKBAR_CAMERA	Videocamera
TASKBAR_EXP	Esperienza
TASKBAR_HP	HP
TASKBAR_MOVE	Muovi
TASKBAR_SKILL	Abilità
TASKBAR_SP	MP
TASKBAR_ST	AP
TENTH_COIN	Moneta/e dell'anniversario
TENTH_EVENT_ASK_EXCHANGE	Ti servono %d Bandiere dell'anniversario. Desideri continuare?
THING_COUNT	Tutti
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Riduci danno	SNA
TOOLTIP_AFFECT_CONFUSION	Ti hanno stordito.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Riduci la probabilità di colpo critico	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Signum del guardiano	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Non è stato possibile interrompere il raggio idrico.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Riduci difesa	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Lampo
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Bonus Tonno dorato	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vestiti bagnati\nVelocità di movimento -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Anime (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Anime preziose (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Buff occupazione: %s
TOOLTIP_AFFECT_MOUNT_FALL	Caduta dalla cavalcatura	SNA
TOOLTIP_AFFECT_POLYMORPH	Trasformazione	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Incrementa tempo di ricarica	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Resistenza contro i danni abilità +15% | Resistenza contro danni da attacco normali +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Elisir del ricercatore	SNA
TOOLTIP_AFFECT_RHP_REGEN	Non è possibile riposarsi	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Bonus Magazzino\n +3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Bonus Magazzino\n +20 difesa	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Bonus Magazzino\n +1% punti vita	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Bonus Magazzino\n +3% forte contro mostri	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	In caso di punti karma bassi, il danno provocato aumenta.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistenza contro il colpo critico +%d%% 	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistenza contro i colpi trafiggenti +%d%%	SA
TOOLTIP_ANTI_SELL	Non può essere venduto nel negozio.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Tasso di assorbimento: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contro Animali +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contro Ninja +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Interruzione della difesa campana +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Interruzione della difesa frecce +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Interruzione della difesa artigli +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Forte contro i mostri Zodiaco +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Interruzione della difesa pugnale +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Forte contro mostri del deserto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contro Diavolo +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Interruzione della difesa ventaglio +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contro Mezziuomini +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Forte contro gli insetti +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contro Esoterici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contro mostri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contro Orchi +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contro Shamane +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contro Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Interruzione della difesa spada +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Interruzione della difesa spadone +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contro Zombie +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contro Guerrieri +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contro lican + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistenza contro l'attacco sanguinante + %d%%	SA
TOOLTIP_APPLY_BLOCK	Possibilità blocco attacco corporale %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Rigenerare in battaglia %d MP ogni 5 Sec.	SA
TOOLTIP_APPLY_CRITICAL_PCT	+ %d%% di possibilità nei colpi critici	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% di possibilità di mantenere MP nei colpi	SA
TOOLTIP_APPLY_DODGE	%d%% di possibilità di schivare frecce	SA
TOOLTIP_APPLY_ENCHANT_DARK	Forza dell'oscurità +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Forza dell'oscurità +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Forza della terra +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Forza della terra +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Forza del fulmine +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Forza del fulmine +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Forza del fuoco +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Forza del fuoco +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Forza del ghiaccio +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Forza del ghiaccio +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Forza del vento +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Forza del vento +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% di possibilità sul EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% di possibilità di lasciar cadere Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune contro caduta	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Difesa contro rallentamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Difesa contro svenimento	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% di possibilità di far cadere il doppio degli oggetti	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% di possibilità di rigenerare HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% di possibilità di rigenerare MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% di possibilità prendere MP dell'avversario	SA
TOOLTIP_APPLY_MAX_HP_PCT	HP max. +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	MP max. +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	Nessun effetto
TOOLTIP_APPLY_NO_DEATH_PENALTY	Facendo rinascere il personaggio sul luogo della sua morte non perderà punti esperienza.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Il Dio Drago ti protegge con le sue ali. La rianimazione a bordo non consuma alcun punto esperienza.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% di possibilità su colpi che trafiggono	SA
TOOLTIP_APPLY_POISON_PCT	Probabilità di avvelenamento: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistenza avvelenamento %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Pozione %d%% aumento dell'effetto	SA
