ACCE_ABSORB_COST	Absorberrings pris: %d
PRIVATESHOPSEARCH_WHITE_PEARL	Hvid perle
PRIVATESHOPSEARCH_WRIST	Armbånd
PRIVATE_SHOP_CANNOT_SELL_ITEM	Du kan ikke sælge denne genstand i private butikker.
PRIVATE_SHOP_CLOSE_QUESTION	Vil du lukke din private butik?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Butikkens navn.
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Pris
PVP_LEVEL0	Ridderlig
PVP_LEVEL1	Ædel
PVP_LEVEL2	God
PVP_LEVEL3	Venlig
PVP_LEVEL4	Neutral
PVP_LEVEL5	Aggresiv
PVP_LEVEL6	Bedragerrisk
PVP_LEVEL7	Ond
PVP_LEVEL8	Grusom
PVP_MODE_GUILD	PvP - Ordensmode blev aktiveret
PVP_MODE_KILL	PvP - fri blev aktiveret
PVP_MODE_NORMAL	PvP - fred blev aktiveret
PVP_MODE_PROTECT	PvP - beskyttelse blev aktiveret
PVP_MODE_REVENGE	PvP - fjendtlig blev aktiveret
PVP_OPTION_KILL	Fri
PVP_OPTION_NORMAL	Fred
PVP_OPTION_PROTECT	Beskyttelse
PVP_OPTION_REVENGE	Fjendtlig
PVP_TOURNAMENT_DO_NOT_AUTO	Du kan ikke bruge 'angrib automatisk' under PvP turneringen.
QUEST_APPEND	Ny opgave blev modtaget.
QUEST_HOUR	Time(r)
QUEST_MIN	Min.
QUEST_SEC	Sek.
QUEST_TIMEOVER	Tiden er gået
QUEST_UNLIMITED_TIME	Ingen tidsbegrænsning.
QUEST_ZEROSEC	0 Sek.
QUICKSLOT_REGISTER_DISABLE_ITEM	Denne genstand kan ikke aktiveres via hurtigmenuen.
RANKING	Rang
RANKING_BOARD_MEMBER	Medlem
RECEIVE_MESSAGE	%s har sendt dig en meddelelse.
REFINE_COST	Forbedringsomkostninger: %d Yang
REFINE_DESTROY_WARNING	Denne genstand kan gå i stykker ved forædling.
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Ønsker du virkelig at opgradere denne genstand?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Hvis du fejler, så vil genstanden blive ødelagt. Ønsker du at fortsætte?
REFINE_DOWN_GRADE_WARNING	Det kan ske at genstanden mister en level.
REFINE_DO_YOU_SEPARATE_METIN	Vil du fjerne alle ånde-stenene?
REFINE_ELEMENT_CHANGE_TEXT	%s har nu %s elementet!
REFINE_ELEMENT_DOWNGRADE_TEXT	Den elementære fortryllelse er blevet nedgraderet.
REFINE_ELEMENT_EXIST	Genstanden har allerede et andet element.
REFINE_ELEMENT_GRADE_MAX	Den højeste elementære fortryllelses level er allerede blevet opnået.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	Den elementære fortryllelse er kun tilgængelig for +7 våben eller højere.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Ikke nok Yang.
REFINE_ELEMENT_NOT_EXSIT	Kan ikke bruges med denne genstand.
REFINE_ELEMENT_TEXT_DARK	Mørke +%d
REFINE_ELEMENT_TEXT_EARTH	Jord +%d
REFINE_ELEMENT_TEXT_ELECT	Lyn +%d
REFINE_ELEMENT_TEXT_FIRE	Ild +%d
REFINE_ELEMENT_TEXT_ICE	Is +%d
REFINE_ELEMENT_TEXT_WIND	Vind +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elementære fortryllelse mislykkedes.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elementære fortryllelse var succesfuldt!
REFINE_FAILURE	Åh nej, det virkede ikke! Vi har fejlet.
REFINE_FAILURE_CAN_NOT_ATTACH	%s kan ikke tilføjes til denne genstand.
REFINE_FAILURE_DEL_ITEM	Forædlingen mislykkedes. Genstanden blev ødelagt.
REFINE_FAILURE_EQUIP_ITEM	Du kan ikke forbedre den udvalgte genstand, da den er i brug.
REFINE_FAILURE_GRADE_DOWN	Forædlingen mislykkedes. Genstandens karakter er blevet reduceret.
REFINE_FAILURE_KEEP_GRADE	Forædlingen mislykkedes. Heldigvis, er genstanden forblevet uskadt.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Der kan ikke fjernes en ånde-sten.
REFINE_FAILURE_NEED_BETTER_SCROLL	Du har brug for et detaljeret forbedrings-dokument.
REFINE_FAILURE_NO_GOLD_SOCKET	Der findes ingen guld-indfatning for at tilføje %s .
REFINE_FAILURE_NO_MORE_SOCKET	Du kan ikke tilføje yderligere indfatninger.
REFINE_FAILURE_NO_SOCKET0	Der findes ingen indfatning for at tilføje %s.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	På denne genstand der der ikke tilføjes en indfatning.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Denne genstand kan ikke blive forbedret.
REFINE_SUCCESS	Succesfuld forbedringen!
REFINE_SUCCESS_PROBALITY	Forbedrings-sandsynlighed: %d%%
REFINE_WARNING2	Ønsker du at fortsætte?
RESTART_POPUP_GIVEUP_MIST_ISLAND	Du er blevet dræbt i Kampen om de Fem Helligdomme. Du vil nu vende tilbage til landsbyen.
REVIVE_QUESTION	Ønsker du at genoplive %s? Antal Genoplivelses Prismer: %d
REVIVE_SELF_QUESTION	Ønsker du at genoplive dig selv? Antal Genoplivelses Prismer: %d
ROULETTE_REWARD_TEXT	Indsaml Genstand
SAFEBOX_ERROR	Du har indtastet et forkert kodeord.
SAFEBOX_NEED_CHANGE_PASSWORD	Dit kodeord er udløbet.\nVælg venligst et nyt et.
SAFEBOX_SELL_DISABLE_SAFEITEM	Du kan ikke sælge gemte genstande.
SAFEBOX_UNAVILABLE_PASSWORD_01	Du kan ikke bruge dette kodeord.
SAFEBOX_UNAVILABLE_PASSWORD_02	Dit kodeord burde mindst bestå af %d karakterer.
SAFEBOX_UNAVILABLE_PASSWORD_03	Du har indtastet dit nuværende kodeord. Vælg venligst et nyt et.
SAFEBOX_UNAVILABLE_PASSWORD_04	Dit kodeord må ikke indeholde %d identiske eller fortløbende tal.
SAFEBOX_UNAVILABLE_PASSWORD_05	Ingen specialtegn er tilladt. Tilladte tegn: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Kodeorderne skal være identiske.
SCREENSHOT_SAVE1	er gemt i
SCREENSHOT_SAVE2	Screenshot-mappen
SCREENSHOT_SAVE_FAILURE	Der opstod en fejl. Screenshottet blev ikke gemt.
SECOND	Sek
SECOND_CONFIRM_PET_FEED_QUESTION_1	Din genstand har %d eller flere bonusser.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Er du sikker på at du gerne vil fodre den til dit kæledyr?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Din genstand har %d eller flere bonusser.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Er du sikker på at du gerne vil sælge den?
SELECT_ATTR_NOTICE	Du kan ikke åbne en privat butik mens du bruger Fortrylle genstand+.
SELECT_ATTR_NOT_OPEN	Du kan ikke bruge Fortrylle genstand+, mens du har en privat butik åben.
SELECT_ATTR_NOT_SELECT	Beslut om du ønsker at beholde bonusserne, eller udskifte dem.
SELECT_CAN_NOT_DELETE	Du kan ikke slette denne karakter.
SELECT_CAN_NOT_DELETE_ATTR67	Du kan ikke slette din karakter\nmens en bonus bliver tilføjet.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Du kan ikke slette din karakter mens de er et medlem af en orden.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Du kan ikke slette din karakter fordi de ejer sjælbundene genstande.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Du kan ikke slette din eneste karakter fordi der stadig er genstande i dit lager.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Du kan kun slette din karakter op til level 69.
SELECT_CAN_NOT_DELETE_MARRIAGE	Du kan ikke slette gifte karakterer.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Sletnings koden var ugyldig.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Du kan ikke slette denne karakter direkte efter den er blevet skabt. Ventetid: %s
SELECT_CHANGED_NAME	Du har skiftet navn på karakteren.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Dette navn er allerede i brug.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Prøv igen.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Dette er et forkert karakternavn.
SELECT_CHANGE_NAME_TITLE	Skift karakternavn
SELECT_DELEING	Karakteren bliver slettet
SELECT_DELETED	Sletning succesfuld.
SELECT_DO_YOU_DELETE_REALLY	Ønsker du at fortsætte?
SELECT_EMPTY_SLOT	Dette er et tomt felt.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Angiv et nyt karakternavn.
SELECT_NOT_JOIN_GUILD	Ingen Orden
SERVER_NOTIFY_CLOSED	Lukket server: kun kontoer med VIP status eller dem der blev lavet før serverens lukning kan komme ind.
SERVER_STATUS_CLOSE	LUKKET
SERVER_STATUS_NEW	NY
SERVER_STATUS_SPECIAL	SPECIAL
SHOP_BUY_INFO	Vælg den genstand du vil købe i butik-vinduet.
SHOP_CANNOT_SELL_EQUIPMENT	Du kan ikke sælge genstanden, da den er i brug.
SHOP_CANNOT_SELL_ITEM	Denne genstand kan ikke sælges.
SHOP_ERROR_UNKNOWN	Ukendt load-fejl: %s
SHOP_EXCEED_LIMIT_TODAY	Du har allerede overskredet din daglige grænse for brug af point.
SHOP_INVALID_POS	Denne genstand er ikke egnet til det.
SHOP_INVENTORY_FULL	Dit inventar er fyldt.
SHOP_LIMITED_DATA_LOADING	Data indlæses. Prøv venligst igen senere.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Resterende genstande: %d
SHOP_LIMITED_PURCHASE_OVER	Udsolgt
SHOP_LIMIT_TODAY	Daglige grænse: %d / %d
SHOP_MY_BATTLE_POINT	Kamp point: %d
SHOP_MY_MEDAL_OF_HONOR	Tapperheds Medalje: %d
SHOP_NOT_ENOUGH_10TH_COIN	Du har ikke nok Jubilæums Mønter.
SHOP_NOT_ENOUGH_BATTLE_POINT	Du har ikke nok kamp point.
SHOP_NOT_ENOUGH_BNW	Du har ikke nok Seer Mønter.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Ordens level er for lavt.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Ikke nok Tapperheds Medaljer.
SHOP_NOT_ENOUGH_MONEY	Ikke nok Won eller Yang
SHOP_NOT_ENOUGH_MONEY_EX	Du har ikke Yang nok.
SHOP_SELL_INFO	Vælg i dit inventarvindue, hvilken genstand du ønsker at sælge.
SHOP_SOLDOUT	Udsolgt
SHOT_ERROR_UNKNOWN	Ukendt langdistance angrebsfejl: %s
SKILL_BLEEDING	Blødning
SKILL_BOHO	Reflektere
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Du har brug for erfaringspoint for at lære denne færdighed.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Du har brug for en bog for at lære denne færdighed.
SKILL_CHEONGEUN	Stærk krop
SKILL_CRITICAL	Kritisk slag
SKILL_ENCHANT_POISON	Brug gift
SKILL_EUNHYEONG	Usynligt
SKILL_FAINT	Besvime
SKILL_FIND_TRAP	Søg fælde
SKILL_FIRE	Forbrænding
SKILL_FISHMIND	Fiske kugle bliver brugt
SKILL_GAMJI	Vælge
SKILL_GEOMGYEONG	Sværd-aura
SKILL_GICHEON	Dragehjælp
SKILL_GIGONG	Chi-Rotation
SKILL_GONGPO	Frygt
SKILL_GRADE_NAME_GRAND_MASTER	%s Stormester
SKILL_GRADE_NAME_MASTER	%s Mester
SKILL_GRADE_NAME_PERFECT_MASTER	%s perfekt Mester
SKILL_GROUP_ASSASSIN_1	Klinge
SKILL_GROUP_ASSASSIN_2	Bue
SKILL_GROUP_HORSE	Riddekunst
SKILL_GROUP_SHAMAN_1	Drage
SKILL_GROUP_SHAMAN_2	Helbredelse
SKILL_GROUP_SURA_1	Våben
SKILL_GROUP_SURA_2	Magi
SKILL_GROUP_WARRIOR_1	Krop
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Fortryllet klinge
SKILL_GYEONGGONG	Dunlet gang
SKILL_HEUKSIN	Mørk beskyttelse
SKILL_HOSIN	Velsignelse
SKILL_INC_ATKSPD	Angrebshastighed øges
SKILL_INC_MOVSPD	Bevægelseshastighed øges
SKILL_JEOJU	Forbandelse
SKILL_JEONGEOP	Helbrede
SKILL_JEONGWI	Bersærk
SKILL_JEONSINBANGEO	Fuld forsvar
SKILL_JEONSINGONGGYEOK	Fuld angreb
SKILL_JEUNGRYEOK	Angreb +
SKILL_JEUNGSOK	Hastighed +
SKILL_JUMAGAP	Fortryllet rustning
SKILL_KWAESOK	Hastighed
SKILL_MUYEONG	Ild-ånden
SKILL_NEED_EMPTY_BOTTLE	Jeg har ingen tom flaske.
SKILL_NEED_POISON_BOTTLE	Jeg har ingen giftflaske.
SKILL_ONLY_FOR_GUILD_WAR	Denne færdighed kan kun bruges i Ordens-kampe.
SKILL_PABEOP	Fjern magi
SKILL_POWERFUL_STRIKE	Bedøvelses-angreb
SKILL_SEOMGWANG	Lynbombe
SKILL_SLEEP	Sove
SKILL_SLOW	Langsom
SKILL_STUN	Bedøve
SKILL_SUHO	Vagt
SKILL_SUMMON_DESCRIPTION	Sandsynlighed for besværgelser: %d%%
SKILL_TOOLTIP_INT	Intelligens
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Forgiftning
SKILL_TOXICPOWER	Giftangreb bliver forbedret
SKILL_TUSOK	ånde-stød
SOUL_ITEM_TOOLTIP_APPLY	Effekt aktiveret
SOUL_ITEM_TOOLTIP_BLUE1	Spilletid: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Færdigheds skade forøges med x%.1f når man når spilletiden
SOUL_ITEM_TOOLTIP_COMMON	Ikke til: PvP, Transformation
SOUL_ITEM_TOOLTIP_RED1	Spilletid: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Angrebs skade forøges med x%.1f når man når spilletiden
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Resterende angreb: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Sjælen udløber om
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effekten er ikke aktiveret.
SOUL_REFINE_FAILURE	Forædlingen mislykkedes.
SOUL_REFINE_SUCCESS	Forædlingen er fuldført!
STAT_MINUS_CON	Vitalitets-tilpasning(Tilbagestående chance: %d)
STAT_MINUS_DEX	Smidighed-tilpasning (Sandsynlighed: %d)
STAT_MINUS_INT	Intelligens-tilpasning (Sandsynlighed: %d)
STAT_MINUS_STR	Styrke-tilpasning (Sandsynlighed: %d)
STAT_TOOLTIP_CON	HP og forsvar bliver forbedret
STAT_TOOLTIP_DEX	Nøjagtighed og flugt bliver forbedret
STAT_TOOLTIP_INT	MP, magisk angreb og forsvar bliver forbedret.
STAT_TOOLTIP_STR	Angrebsværdi og skade bliver forbedret
SYMBOLLIST_TITLE	Tilmeld Ordensflag
TARGET_BUTTON_ACCEPT_FIGHT	Accepter
TARGET_BUTTON_AVENGE	Hævn
TARGET_BUTTON_BLOCK	Bloker
TARGET_BUTTON_BLOCK_REMOVE	Fjern blokering
TARGET_BUTTON_BUILDING_DESTROY	Ødelægge
TARGET_BUTTON_DISMOUNT	Stå af hesten
TARGET_BUTTON_EMOTION_ALLOW	Emotioner
TARGET_BUTTON_EXCHANGE	Handel
TARGET_BUTTON_EXCLUDE	Udelukke
TARGET_BUTTON_EXIT_OBSERVER	Afslut tilskuersyn
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Ven
TARGET_BUTTON_INVITE_GUILD	Ordens invitation
TARGET_BUTTON_INVITE_PARTY	Gruppe invitation
TARGET_BUTTON_LEAVE_PARTY	Forlad gruppe
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join gruppen
TARGET_BUTTON_REVIVE	Genopliv
TARGET_BUTTON_VIEW_EQUIPMENT	Udrystning
TARGET_BUTTON_WHISPER	Hviske
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TARGET_TOOLTIP_ATTACK_COUNT	Samlede Angrebspoint: %d
TASKBAR_ATTACK	Angribe
TASKBAR_AUTO	Angrib automatisk
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Erfaring
TASKBAR_HP	HP
TASKBAR_MOVE	Bevæge
TASKBAR_SKILL	Færdighed
TASKBAR_SP	MP
TASKBAR_ST	OP
TENTH_COIN	Jubilæums Mønter
TENTH_EVENT_ASK_EXCHANGE	Du kræver %d Jubilæums Flag. Ønsker du at fortsætte?
THING_COUNT	alle
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Reducer skade	SNA
TOOLTIP_AFFECT_CONFUSION	Du er blevet bevidstløs.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Reducer kritisk slag chance	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Vogterens Mærke	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Hydro strålen kunne ikke stoppes.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Reducer forsvar	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Lyn
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Gylden Tun Bonus	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vådt Tøj\nBevægelseshastighed -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Sjæle (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Sjældne Sjæle (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Besættelses Buff %s
TOOLTIP_AFFECT_MOUNT_FALL	Fald fra ganger	SNA
TOOLTIP_AFFECT_POLYMORPH	Transformer	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Forøg nedkøling	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Modstand imod Færdighedsskade +15% | Modstand imod normalt Angrebs Skade +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Forskerens Eliksir	SNA
TOOLTIP_AFFECT_RHP_REGEN	Kan ikke regenerere	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Lager Bonus\n+3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Lager Bonus\n+20 forsvar	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Lager Bonus\n+1% angrebspoint	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Lager Bonus\n+3% styrke imod monstre	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Skaden bliver øget ved lavere rang point.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Forsvar mod kritisk hit +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Forsvar mod gennemborende angreb +%d%%	SA
TOOLTIP_ANTI_SELL	Kan ikke sælges i butikken.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorberings satsen: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Stærk mod dyr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Stærk mod ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Klokkeforsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Pil Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Klo Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Stærke imod Zodiac Monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dolk Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Stærke imod Ørken Monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Stærk mod djævel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Vifte Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Stærk mod halvmennesker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Stærke imod Insekter +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Stærk mod esoteriker +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Stærk mod monstre +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Stærk mod ork +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Stærk mod shamaner +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Stærk mod sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Sværd Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	To-hånds Forsvars Brud +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Stærk mod ikke-døde +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Stærk mod kriger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Stærk imod Lycans + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Blødnings angreb + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Modstand imod blødnings angreb + %d%%	SA
TOOLTIP_APPLY_BLOCK	Sandsynlighed for at blokere fysisk angreb %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Gendan i kamp alle 5 Sek. MP %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Sandsynlighed for et kritisk slag +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% sandsynlighed for at få MP tilbage efter et hit	SA
TOOLTIP_APPLY_DODGE	%d%% sandsynlighed at undvige pilangreb	SA
TOOLTIP_APPLY_ENCHANT_DARK	Mørkets Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Mørkets Kraft +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Jordens Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Jordens Kraft +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Lynets Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Lynets Kraft +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Ildens Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Ildens Kraft +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Isens Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Isens Kraft +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Vindens Kraft +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Vindens Kraft +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% sandsynlighed for erfarings-bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% sandsynlighed at få doppelt Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immun overfor væltning i kamp	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Forsvar mod sløvhed	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Forsvar mod besvimelse	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% sandsynlighed for at få doppelte genstande	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% sandsynlighed for at gendanne HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% sandsynlighed for at gendanne MP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% sandsynlighed at overtage fjendens MP.	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max MP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Ingen virkning
TOOLTIP_APPLY_NO_DEATH_PENALTY	Hvis din karakter dør mister du ingen erfaringspoint.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Drageguden tager dig under hans beskyttende vinger. Hvis du bliver genoplivet om bord, vil du ikke miste nogen erfaringspoint.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% sandsynlighed for gennemborende slag	SA
TOOLTIP_APPLY_POISON_PCT	Sandsynlighed for Forgiftning %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Giftmodstand %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Eliksir %d%% effektøgning	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% sandsynlighed for at reflektere en forbandelse	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% sandsynlighed for at reflektere fysisk angreb	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Forsvar mod ninjaangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Klokkeforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Klo Forsvar +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dolkforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Vifteforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Modstand imod Halv Mennesker %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Falds Modstand +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Forsvar mod shamanangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Forsvar mod suraangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sværdforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Tohåndssværdforsvar %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Forsvar mod krigerangreb: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Luftmodstand %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Forsvars chance mod Lycan angreb %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Sandsynlighed at lære ved læsning af bøger er øget med faktor 2½	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Hvis læsningen mislykkes kan du læse en anden bog med det samme.	SNA
TOOLTIP_APPLY_SLOW_PCT	Chance for at sløve modstanderen %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% af skaden vil blive absorberet af HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% af skaden vil blive absorberet af MP	SA
TOOLTIP_APPLY_STUN_PCT	Besvimelses sandsynlighed %d%%	SA
TOOLTIP_ARMOR	Rustning
TOOLTIP_ARROW	Pil
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_STONE	+%d%% styrke imod Metin-sten	SA
TOOLTIP_ATT_GRADE	Angrebsværdi +%d	SA
TOOLTIP_ATT_SPEED	Angrebshastighed +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Angrebshastighed reduceret	SNA
TOOLTIP_AUTO_POTION_HP	Sol Eliksir
TOOLTIP_AUTO_POTION_REST	Resterende: %.2f%%
TOOLTIP_AUTO_POTION_SP	Måne Eliksir
TOOLTIP_AUTO_POTION_USING	Aktiv
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Jagt	SNA
TOOLTIP_BATTLE_POTION	Kamp Zone Kamp Eliksir	SNA
TOOLTIP_BOW_DISTANCE	Buerækkevidde +%dm	SA
TOOLTIP_BUYPRICE	Pris: %s
TOOLTIP_CAST_SPEED	Magihastighed +%d%%	SA
TOOLTIP_CON	Vitalitet +%d	SA
