ACCE_ABSORB_COST	Absorberingsprijs: %d
PET_TOOLTIP_SKILL_NEXT_LEVEL	Volgend level: %d (max. %d)
PET_TOOLTIP_SP	TP
PET_TOOLTIP_TRADABLE	Verhandelbaar
PET_TOOLTUP_SKILL	%s (Level %d)
PICK_ITEM_TITLE	Voorwerp Nummer	
PICK_MONEY_TITLE	Som	
PRIVATESHOPSEARCH_ABLITY_POTION	Dauw
PRIVATESHOPSEARCH_ACCESSORY_SOCKET	Fijn Doek
PRIVATESHOPSEARCH_ARMOR	Uitrusting
PRIVATESHOPSEARCH_ARROW	Pijlen
PRIVATESHOPSEARCH_BELL	Bellen
PRIVATESHOPSEARCH_BELT	Riemen
PRIVATESHOPSEARCH_BLEND	Drankjes
PRIVATESHOPSEARCH_BLOOD_PEARL	Bloedrode Parel
PRIVATESHOPSEARCH_BLUE_PEARL	Blauwe Parel
PRIVATESHOPSEARCH_BODY	Uitrusting
PRIVATESHOPSEARCH_BOW	Bogen
PRIVATESHOPSEARCH_BUYTIME	Wil je het geselecteerde item kopen?
PRIVATESHOPSEARCH_CLAW	Klauwen
PRIVATESHOPSEARCH_CLEAR_POTION	Elixers
PRIVATESHOPSEARCH_COSTUME	Kostuums
PRIVATESHOPSEARCH_COSTUMEBODY	Kostuum
PRIVATESHOPSEARCH_COSTUMEHAIR	Haarstijl
PRIVATESHOPSEARCH_COSTUME_ACCE	Schoudergordels
PRIVATESHOPSEARCH_COSTUME_MOUNT	Mount
PRIVATESHOPSEARCH_CRYSTAL	Kristal
PRIVATESHOPSEARCH_DAGGER	Dolken
PRIVATESHOPSEARCH_DEAD	Dood
PRIVATESHOPSEARCH_DETACHMENT	Steen Handboek
PRIVATESHOPSEARCH_DIAMOND	Diamant
PRIVATESHOPSEARCH_DS	Drakensteen Alchemie
PRIVATESHOPSEARCH_DS_BLACK	Onyx
PRIVATESHOPSEARCH_DS_BLUE	Saffier
PRIVATESHOPSEARCH_DS_GREEN	Jade
PRIVATESHOPSEARCH_DS_RED	Robijn
PRIVATESHOPSEARCH_DS_WHITE	Diamant
PRIVATESHOPSEARCH_DS_YELLOW	Granaat
PRIVATESHOPSEARCH_EAR	Oorbellen
PRIVATESHOPSEARCH_FAN	Waaiers
PRIVATESHOPSEARCH_FISH	Vissen
PRIVATESHOPSEARCH_FOOTS	Schoenen
PRIVATESHOPSEARCH_GEM	Edelstenen
PRIVATESHOPSEARCH_GIFTBOX	Geschenkdozen
PRIVATESHOPSEARCH_HEAD	Helmen
PRIVATESHOPSEARCH_LIVE	Levend
PRIVATESHOPSEARCH_MATERIAL	Materialen
PRIVATESHOPSEARCH_METIN	Geestenstenen
PRIVATESHOPSEARCH_NECK	Kettingen
PRIVATESHOPSEARCH_NEED_ITEM_BUY	Je kunt geen items kopen zonder de juiste bundel.
PRIVATESHOPSEARCH_NEED_ITEM_FIND	Je kunt niet zoeken naar items zonder de juiste bundel.
PRIVATESHOPSEARCH_NODELAY_POTION	LP Items
PRIVATESHOPSEARCH_ORE	Erts
PRIVATESHOPSEARCH_PET	Huisdiersysteem
PRIVATESHOPSEARCH_PETAGG	Huisdieren Eieren
PRIVATESHOPSEARCH_PETSKILLBOOK	Huisdieren Vaardigheden Boeken
PRIVATESHOPSEARCH_PICK	Pikhouwelen
PRIVATESHOPSEARCH_POTION	Drankjes
PRIVATESHOPSEARCH_QUEST	Quest
PRIVATESHOPSEARCH_QUIVER	Pijlenkokers
PRIVATESHOPSEARCH_RESOURCE	Item Verbetering
PRIVATESHOPSEARCH_ROD	Vishengels
PRIVATESHOPSEARCH_SELECTITEM	Item geselecteerd
PRIVATESHOPSEARCH_SHIELD	Schilden
PRIVATESHOPSEARCH_SKILLBOOK	Vaardigheden Boeken
PRIVATESHOPSEARCH_SKILLFORGET	Vergeetachtigheid Boek
PRIVATESHOPSEARCH_SPECIAL	Overige
PRIVATESHOPSEARCH_STONE	Energie Fragmenten
PRIVATESHOPSEARCH_SWORD	Eenhandszwaarden
PRIVATESHOPSEARCH_TREASUREBOX	Kisten
PRIVATESHOPSEARCH_TUNING	Geschriften
PRIVATESHOPSEARCH_TWOSWORD	Tweehandszwaarden
PRIVATESHOPSEARCH_UNIQUE	Uniek
PRIVATESHOPSEARCH_USEITEM	Gebruiksvoorwerpen
PRIVATESHOPSEARCH_USESPECIAL	Overige
PRIVATESHOPSEARCH_WEAPON	Wapens
PRIVATESHOPSEARCH_WHITE_PEARL	Witte Parel
PRIVATESHOPSEARCH_WRIST	Armbanden
PRIVATE_SHOP_CANNOT_SELL_ITEM	Je kunt dit Voorwerp niet verkopen in een privé Warenhuis.
PRIVATE_SHOP_CLOSE_QUESTION	Wil je dit privé Warenhuis sluiten?
PRIVATE_SHOP_INPUT_NAME_DIALOG_TITLE	Naam van het privé Warenhuis
PRIVATE_SHOP_INPUT_PRICE_DIALOG_TITLE	Prijs
PVP_LEVEL0	Ridderlijk	
PVP_LEVEL1	Nobel	
PVP_LEVEL2	Goed	
PVP_LEVEL3	Vriendelijk	
PVP_LEVEL4	Neutraal	
PVP_LEVEL5	Agressief	
PVP_LEVEL6	Frauduleus	
PVP_LEVEL7	Kwaadwillig	
PVP_LEVEL8	Gemeen	
PVP_MODE_GUILD	PvP - Gilde geactiveerd
PVP_MODE_KILL	PvP - Vrij geactiveerd
PVP_MODE_NORMAL	PvP - Vrede geactiveerd
PVP_MODE_PROTECT	PvP - Bescherming geactiveerd
PVP_MODE_REVENGE	PvP - Vijandig geactiveerd
PVP_OPTION_KILL	Vrij	
PVP_OPTION_NORMAL	Vrede	
PVP_OPTION_PROTECT	Bescherming	
PVP_OPTION_REVENGE	Vijandig	
PVP_TOURNAMENT_DO_NOT_AUTO	Je kunt 'automatisch aanvallen' niet gebruiken tijdens het PvP-toernooi.
QUEST_APPEND	Nieuwe Quest verworven.	
QUEST_HOUR	Uur
QUEST_MIN	Min.	
QUEST_SEC	Sec.	
QUEST_TIMEOVER	Tijd Verlopen	
QUEST_UNLIMITED_TIME	Geen tijd limiet.	
QUEST_ZEROSEC	0 Sec.	
QUICKSLOT_REGISTER_DISABLE_ITEM	Dit Voorwerp kan niet toegevoegd worden in de Snelle Toegangs Gebied	
RANKING	Rang
RANKING_BOARD_MEMBER	Lid
RECEIVE_MESSAGE	%s heeft je een bericht gestuurd.	
REFINE_COST	Kosten voor Bevordering: %d Yang
REFINE_DESTROY_WARNING	Dit Voorwerp kan vernietigd worden tijden het opwaarderen.	
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_1	Wil je dit item echt verbeteren?
REFINE_DESTROY_WARNING_WITH_BONUS_PERCENT_2	Als het mislukt, zal het item vernietigd worden. Wil je doorgaan?
REFINE_DOWN_GRADE_WARNING	Dit Voorwerp kan gedegradeerd worden.	
REFINE_DO_YOU_SEPARATE_METIN	Wil je alle beschikbare Geestenstenen verwijderen?
REFINE_ELEMENT_CHANGE_TEXT	%s heeft nu het element %s!
REFINE_ELEMENT_DOWNGRADE_TEXT	De elementale betovering is verslechterd.
REFINE_ELEMENT_EXIST	Het item heeft al een ander element.
REFINE_ELEMENT_GRADE_MAX	Het maximale level van elementale betovering is al bereikt.
REFINE_ELEMENT_NOT_ENOUGHT_GRADE	De elementale betovering is alleen beschikbaar voor +7 wapens of hoger.
REFINE_ELEMENT_NOT_ENOUGHT_YANG	Niet genoeg Yang.
REFINE_ELEMENT_NOT_EXSIT	Kan niet gebruikt worden met dit item.
REFINE_ELEMENT_TEXT_DARK	Duisternis +%d
REFINE_ELEMENT_TEXT_EARTH	Aarde +%d
REFINE_ELEMENT_TEXT_ELECT	Bliksem +%d
REFINE_ELEMENT_TEXT_FIRE	Vuur +%d
REFINE_ELEMENT_TEXT_ICE	IJs +%d
REFINE_ELEMENT_TEXT_WIND	Wind +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Elementale betovering is mislukt.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Elementale betovering is gelukt!
REFINE_FAILURE	Oh nee, dat werkte niet! We hebben gefaald.
REFINE_FAILURE_CAN_NOT_ATTACH	%s kan niet toegevoegd worden aan dat Voorwerp.	
REFINE_FAILURE_DEL_ITEM	De verbetering is mislukt. Het item is vernietigd.
REFINE_FAILURE_EQUIP_ITEM	Je kunt geen voorwerpen die je draagt upgraden.
REFINE_FAILURE_GRADE_DOWN	De verbetering is mislukt. De itemklasse is verminderd.
REFINE_FAILURE_KEEP_GRADE	De verbetering is mislukt. Gelukkig is het item onbeschadigd gebleven.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Er kon geen Geestensteen weggehaald worden.	
REFINE_FAILURE_NEED_BETTER_SCROLL	Je hebt een betere Bevorderings Geschrift nodig.	
REFINE_FAILURE_NO_GOLD_SOCKET	Er is geen Goud fitting om %s in te zetten.	
REFINE_FAILURE_NO_MORE_SOCKET	Je kunt niet meer Fittingen maken.	
REFINE_FAILURE_NO_SOCKET0	Er is geen Fitting om %s in te zetten.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Je kunt geen Fitting maken in dit Voorwerp.	
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Dit Voorwerp kan niet geüpgrade worden.
REFINE_SUCCESS	Het bevorderen van het Voorwerp was successvol.	
REFINE_SUCCESS_PROBALITY	Kans op Bevordering %d%%	
REFINE_WARNING2	Wil je doorgaan?	
RESTART_POPUP_GIVEUP_MIST_ISLAND	Je bent omgekomen in de Slag om de Vijf Altaren. Je zult nu terugkeren naar het dorp.
REVIVE_QUESTION	Wil je %s tot leven wekken? Aantal Prisma's der Opwekking: %d
REVIVE_SELF_QUESTION	Wil je jezelf tot leven wekken? Aantal Prisma's der Opwekking: %d
ROULETTE_REWARD_TEXT	Item ophalen
SAFEBOX_ERROR	Je hebt een verkeerde wachtwoord ingevoerd.	
SAFEBOX_NEED_CHANGE_PASSWORD	Je wachtwoord is verlopen.\nKies a.u.b. een nieuw wachtwoord.
SAFEBOX_SELL_DISABLE_SAFEITEM	Je kunt geen opgeslagen Voorwerpen verkopen.	
SAFEBOX_UNAVILABLE_PASSWORD_01	Je kunt dit wachtwoord niet gebruiken.
SAFEBOX_UNAVILABLE_PASSWORD_02	Je wachtwoord moet minimaal uit %d karakters bestaan.
SAFEBOX_UNAVILABLE_PASSWORD_03	Je hebt je huidige wachtwoord ingevuld. Kies a.u.b. een nieuw wachtwoord.
SAFEBOX_UNAVILABLE_PASSWORD_04	Je wachtwoord mag niet uit %d identieke of opeenvolgende nummers bestaan.
SAFEBOX_UNAVILABLE_PASSWORD_05	Geen speciale karakters toegestaan. Toegestane karakters: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	De wachtwoorden moeten identiek zijn.	
SCREENSHOT_SAVE1	is opgeslagen in	
SCREENSHOT_SAVE2	Screenshot Bestand	
SCREENSHOT_SAVE_FAILURE	Opslaan Screenshot mislukt.	
SECOND	Sec	
SECOND_CONFIRM_PET_FEED_QUESTION_1	Jouw item heeft %d of meer bonussen.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Weet je zeker dat je het wilt voeren aan je huisdier?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	Jouw item heeft %d of meer bonussen.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Weet je zeker dat je het wilt verkopen?
SELECT_ATTR_NOTICE	Je kunt geen Privé Warenhuis openen terwijl je Betover Voorwerp+ gebruikt.
SELECT_ATTR_NOT_OPEN	Je kunt geen Betover Voorwerp+ gebruiken als je een Privé Warenhuis open hebt.
SELECT_ATTR_NOT_SELECT	Bepaal of je bonussen wil houden of ze wil verwisselen.
SELECT_CAN_NOT_DELETE	Je kunt de Charakter niet deleten.	
SELECT_CAN_NOT_DELETE_ATTR67	Je kunt je karakter niet verwijderen\nwanneer er een bonus aan toegevoegd wordt.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Je kunt je karakter niet verwijderen zolang ze lid zijn van een gilde.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Je kunt je karakter niet verwijderen omdat deze zielsgebonden items bezit.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Je kunt je enige karakter niet verwijderen omdat er nog steeds items in je opslag zitten.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Je kunt je karakter slechts tot level 69 verwijderen.
SELECT_CAN_NOT_DELETE_MARRIAGE	Je kunt geen getrouwde karakters verwijderen.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	De verwijderingscode is ongeldig.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Je kunt dit karakter niet direct na het aanmaken weer verwijderen. Wachtperiode: %s
SELECT_CHANGED_NAME	Je hebt de naam van de karakter veranderd.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	De karakter naam bestaat al.	
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Probeer opnieuw.	
SELECT_CHANGE_FAILURE_STRANGE_NAME	Dat	
SELECT_CHANGE_NAME_TITLE	Verander karakter naam.	
SELECT_DELEING	Karakter zal verwijderd worden.	
SELECT_DELETED	Verwijdering successvol.	
SELECT_DO_YOU_DELETE_REALLY	Wil je doorgaan?	
SELECT_EMPTY_SLOT	Dit is een leeg veld.	
SELECT_GM_NAME	GM	
SELECT_INPUT_CHANGING_NAME	Voer een nieuwe karakter naam in.	
SELECT_NOT_JOIN_GUILD	Geen Gilde	
SERVER_NOTIFY_CLOSED	Gesloten server: alleen accounts met VIP-status of die aangemaakt zijn voordat de server sloot mogen binnentreden.
SERVER_STATUS_CLOSE	GESLOTEN
SERVER_STATUS_NEW	NIEUW
SERVER_STATUS_SPECIAL	SPECIAAL
SHOP_BUY_INFO	Kies het Voorwerp dat je wilt kopen in het winkel venster.
SHOP_CANNOT_SELL_EQUIPMENT	Je kunt niet voorwerpen verkopen die je draagt.
SHOP_CANNOT_SELL_ITEM	Dit Voorwerp kan niet verkocht worden.
SHOP_ERROR_UNKNOWN	Onbekende Winkel fout: %s
SHOP_EXCEED_LIMIT_TODAY	Je hebt je dagelijkste limiet voor het gebruik van punten al bereikt.
SHOP_INVALID_POS	Dit Voorwerp kan hier niet gebruikt worden.
SHOP_INVENTORY_FULL	Je Inventaris is vol.
SHOP_LIMITED_DATA_LOADING	Data laden. Probeer het later opnieuw a.u.b.
SHOP_LIMITED_ITEM_REMAIN_COUNT	Resterende items: %d
SHOP_LIMITED_PURCHASE_OVER	Uitverkocht
SHOP_LIMIT_TODAY	Dagelijkse limiet: %d / %d
SHOP_MY_BATTLE_POINT	Strijdpunten: %d
SHOP_MY_MEDAL_OF_HONOR	Medaille van Heldhaftigheid: %d
SHOP_NOT_ENOUGH_10TH_COIN	Je hebt niet genoeg Jubileum Munten.
SHOP_NOT_ENOUGH_BATTLE_POINT	Je hebt niet genoeg strijdpunten.
SHOP_NOT_ENOUGH_BNW	Je hebt niet genoeg Ziener Munten.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Gildelevel is te laag.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Onvoldoende Medailles van Heldhaftigheid.
SHOP_NOT_ENOUGH_MONEY	Niet genoeg Won of Yang
SHOP_NOT_ENOUGH_MONEY_EX	Je hebt niet genoeg Yang.
SHOP_SELL_INFO	Kies het Voorwerp dat verkocht gaat worden in je inventaris venster.
SHOP_SOLDOUT	Uitverkocht
SHOT_ERROR_UNKNOWN	Onbekende fout tijdens Lange Afstands Aanval: %s
SKILL_BLEEDING	Bloeden
SKILL_BOHO	Terugkaatsen	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Je hebt ERV nodig om deze Vaardigheid te leren.	
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Je hebt een boek nodig om deze Vaardigheid te leren.	
SKILL_CHEONGEUN	Sterk Lichaam	
SKILL_CRITICAL	Kritieke slag
SKILL_ENCHANT_POISON	Gif Toedienen	
SKILL_EUNHYEONG	Camouflage	
SKILL_FAINT	Blackout	
SKILL_FIND_TRAP	Vind Val	
SKILL_FIRE	Permanent Vuur	
SKILL_FISHMIND	Vissen bol is actief
SKILL_GAMJI	Verover	
SKILL_GEOMGYEONG	Aura van de Zwaard	
SKILL_GICHEON	Draken Hulp
SKILL_GIGONG	Chi Wenteling	
SKILL_GONGPO	Angst	
SKILL_GRADE_NAME_GRAND_MASTER	%s Grootmeester	
SKILL_GRADE_NAME_MASTER	%s Meester	
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfecte Meester	
SKILL_GROUP_ASSASSIN_1	Mes	
SKILL_GROUP_ASSASSIN_2	Boog	
SKILL_GROUP_HORSE	Ruiter Vaardigheden	
SKILL_GROUP_SHAMAN_1	Draak	
SKILL_GROUP_SHAMAN_2	Heling	
SKILL_GROUP_SURA_1	Wapen	
SKILL_GROUP_SURA_2	Magie	
SKILL_GROUP_WARRIOR_1	Lichaam	
SKILL_GROUP_WARRIOR_2	Mentaal	
SKILL_GWIGEOM	Betoverd Mes	
SKILL_GYEONGGONG	Verderlicht Lopen
SKILL_HEUKSIN	Donkere Bescherming	
SKILL_HOSIN	Zegening	
SKILL_INC_ATKSPD	Aanvals snelheid verhoogd
SKILL_INC_MOVSPD	Bewegings snelheid verhoogd
SKILL_JEOJU	Vloek	
SKILL_JEONGEOP	Heling	
SKILL_JEONGWI	Vechtroes
SKILL_JEONSINBANGEO	Volle Verdediging	
SKILL_JEONSINGONGGYEOK	Volle Aanval	
SKILL_JEUNGRYEOK	Aanval +	
SKILL_JEUNGSOK	Beweging +	
SKILL_JUMAGAP	Betoverd Pantser	
SKILL_KWAESOK	Snelheid	
SKILL_MUYEONG	Geest van de Vlam	
SKILL_NEED_EMPTY_BOTTLE	Ik heb geen Lege Fles.	
SKILL_NEED_POISON_BOTTLE	Ik heb geen Gif Fles	
SKILL_ONLY_FOR_GUILD_WAR	Je kunt deze Vaardigheid alleen tijdens een Gilde Oorlog gebruiken.	
SKILL_PABEOP	Neutraliseer Spreuk	
SKILL_POWERFUL_STRIKE	Overdonderend Aanval	
SKILL_SEOMGWANG	Bliksem Bom	
SKILL_SLEEP	Slaap	
SKILL_SLOW	Langzaam	
SKILL_STUN	Overdonderen	
SKILL_SUHO	Wachter
SKILL_SUMMON_DESCRIPTION	Kans van de Evocatie:  %d%%	
SKILL_TOOLTIP_INT	Intelligentie	
SKILL_TOOLTIP_LEVEL	Level	
SKILL_TOXICDIE	Vergiftiging	
SKILL_TOXICPOWER	Gif Aanval waarde verhoogd	
SKILL_TUSOK	Geest Slag	
SOUL_ITEM_TOOLTIP_APPLY	Effect geactiveerd
SOUL_ITEM_TOOLTIP_BLUE1	Speeltijd: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Vaardighedenschade stijgt met x%.1f bij het bereiken van de speeltijd
SOUL_ITEM_TOOLTIP_COMMON	Niet voor: PvP, Transformatie
SOUL_ITEM_TOOLTIP_RED1	Speeltijd: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Aanvalsschade stijgt met x%.1f bij het bereiken van de speeltijd
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Resterende aanvallen: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Ziel verloopt over
SOUL_ITEM_TOOLTIP_UNAPPLIED	Effect niet geactiveerd
SOUL_REFINE_FAILURE	Verbetering mislukt.
SOUL_REFINE_SUCCESS	Verbetering succesvol!
STAT_MINUS_CON	Vitaliteits Afstelling (Resterende kans: %d)
STAT_MINUS_DEX	Behendigheids Afstelling (Resterende kans: %d)
STAT_MINUS_INT	Intelligentie Afstelling (Resterende Kans: %d)	
STAT_MINUS_STR	Kracht Afstelling (Resterende Kans: %d)	
STAT_TOOLTIP_CON	Verhoogd LP en Verdediging
STAT_TOOLTIP_DEX	Verhoogd Aanval en Handigheid
STAT_TOOLTIP_INT	Verhoogd TP, magische aanvalskracht en verdediging
STAT_TOOLTIP_STR	Verhoogd Aanvals waarde en Schade
SYMBOLLIST_TITLE	Registreer Gilde Vlag	
TARGET_BUTTON_ACCEPT_FIGHT	Toestemmen	
TARGET_BUTTON_AVENGE	Wraak	
TARGET_BUTTON_BLOCK	Blokkeren
TARGET_BUTTON_BLOCK_REMOVE	Deblokkeren
TARGET_BUTTON_BUILDING_DESTROY	Vernietigen	
TARGET_BUTTON_DISMOUNT	Afstijgen
TARGET_BUTTON_EMOTION_ALLOW	Emoties	
TARGET_BUTTON_EXCHANGE	Handelen	
TARGET_BUTTON_EXCLUDE	Uitsluiten	
TARGET_BUTTON_EXIT_OBSERVER	Beëndig Toeschouwer Mode	
TARGET_BUTTON_FIGHT	Duel	
TARGET_BUTTON_FRIEND	Vriend	
TARGET_BUTTON_INVITE_GUILD	Gilde Uitnodiging	
TARGET_BUTTON_INVITE_PARTY	Groeps Uitnodiging	
TARGET_BUTTON_LEAVE_PARTY	Verlaat Groep	
TARGET_BUTTON_REQUEST_ENTER_PARTY	Aansluiten bij Groep	
TARGET_BUTTON_REVIVE	Tot leven wekken
TARGET_BUTTON_VIEW_EQUIPMENT	Pantser
TARGET_BUTTON_WHISPER	Fluisteren	
TARGET_LEVEL_BOSS	Baas	
TARGET_LEVEL_KING	Level 5.	
TARGET_LEVEL_KNIGHT	Level 3.	
TARGET_LEVEL_PAWN	Level 1.	
TARGET_LEVEL_S_KNIGHT	Level 4.	
TARGET_LEVEL_S_PAWN	Level 2.	
TARGET_TOOLTIP_ATTACK_COUNT	Totale Treffers: %d
TASKBAR_ATTACK	Aanvallen	
TASKBAR_AUTO	Automatisch Aanvallen
TASKBAR_CAMERA	Camera	
TASKBAR_EXP	Ervaring	
TASKBAR_HP	LP	
TASKBAR_MOVE	Beweeg	
TASKBAR_SKILL	Vaardigheid	
TASKBAR_SP	TP	
TASKBAR_ST	UV	
TENTH_COIN	Jubileum Munt(en)
TENTH_EVENT_ASK_EXCHANGE	Je hebt %d Jubileum Vlaggen. Wil je doorgaan?
THING_COUNT	alle	
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Schade verminderen	SNA
TOOLTIP_AFFECT_CONFUSION	Je bent overdonderd.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Kritieke Slagkans verminderen	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Merk van de Wachter	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	De hydrostraal kon niet gestopt worden.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Verdediging verminderen	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Bliksem
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Gouden Tonijn Bonus	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Natte Kleding\nBewegingssnelheid -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Zielen (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Zeldzame Zielen (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Bezettings-buff %s
TOOLTIP_AFFECT_MOUNT_FALL	Van rijdier vallen	SNA
TOOLTIP_AFFECT_POLYMORPH	Transformeren	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Afkoelperiode verhogen	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Weerstand tegen Vaardigheden Schade +15% | Weerstand tegen normale Aanvalsschade +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Onderzoeker's Elixer	SNA
TOOLTIP_AFFECT_RHP_REGEN	Kan niet regenereren	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Opslagbonus\n+3% ERV	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Opslagbonus\n+20 verdediging	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Opslagbonus\n+1% levenspunten	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Opslagbonus\n+3% kracht tegen monsters	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Schade is hoger bij lagere rangpunten.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Weerstand tegen kritieke slagen +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Weerstand tegen perforerende slagen +%d%%	SA
TOOLTIP_ANTI_SELL	Kan niet verkocht worden in een Warenhuis
TOOLTIP_APPLY_ACCEDRAIN_RATE	Absorberingswaarde: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Sterk tegen Dieren +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Sterk tegen Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Belverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Pijlverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Klauwverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Sterk tegen Zodiac Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dolkverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Sterk tegen Woestijn Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Sterk tegen Duivel +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Waaierverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Sterk tegen Halfmensen +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Sterk tegen Insecten +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Sterk tegen Mystici +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Sterk tegen Monster +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Sterk tegen Orks +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sterk tegen Sjamaan +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Sterk tegen Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Zwaardverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Tweehandsverdedigingsbreuk +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Sterk tegen Ondoden +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Sterk tegen Krijger +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Sterk tegen Lycanen + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Bloedingsaanval + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Weerstand tegen Bloedingsaanvallen + %d%%	SA
TOOLTIP_APPLY_BLOCK	%d%% Kans om Aanvallen te blokkeren tegen het Lichaam	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Herstel TP in 5 seconden in een gevecht %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kans op Kritieke Slag +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Kans om TP terug te krijgen wanneer je wordt geraakt	SA
TOOLTIP_APPLY_DODGE	Kans om Pijlen te ontwijken %d%% 	SA
TOOLTIP_APPLY_ENCHANT_DARK	Kracht van Duisternis +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Kracht van Duisternis +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Kracht van Aarde +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Kracht van Aarde +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Kracht van Bliksem +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Kracht van Bliksem +%d%% - +%d%%
