ACCE_ABSORB_COST	Стоимость поглощения: %d
REFINE_ELEMENT_TEXT_ELECT	Молния +%d
REFINE_ELEMENT_TEXT_FIRE	Огонь +%d
REFINE_ELEMENT_TEXT_ICE	Лед +%d
REFINE_ELEMENT_TEXT_WIND	Ветер +%d
REFINE_ELEMENT_UPGRADE_FAIL_TEXT	Заклятие стихий не удалось.
REFINE_ELEMENT_UPGRADE_SUCCESS_TEXT	Заклятие стихий успешно!
REFINE_FAILURE	Да уж, не сработало. Мы не справились.
REFINE_FAILURE_CAN_NOT_ATTACH	%s нельзя приложить к этому предмету.
REFINE_FAILURE_DEL_ITEM	Улучшение не удалось. Предмет уничтожен.
REFINE_FAILURE_EQUIP_ITEM	Вы не можете улучшить снаряженный предмет.
REFINE_FAILURE_GRADE_DOWN	Улучшение не удалось. Качество предмета ухудшено.
REFINE_FAILURE_KEEP_GRADE	Улучшение не удалось. Вам повезло, и предмет остался прежним.
REFINE_FAILURE_METIN_INSEPARABLE_ITEM	Нет камня духа для удаления.
REFINE_FAILURE_NEED_BETTER_SCROLL	Вам необходим лучший Свиток улучшения.
REFINE_FAILURE_NO_GOLD_SOCKET	Добавление %s невыполнимо из-за отсутствия золотой оправы.
REFINE_FAILURE_NO_MORE_SOCKET	Добавление последующих ячеек невозможно.
REFINE_FAILURE_NO_SOCKET0	Добавление %s невыполнимо из-за отсутствия ячейки.
REFINE_FAILURE_SOCKET_DISABLE_ITEM	Добавление ячеек к этому предмету невозможно.
REFINE_FAILURE_UPGRADE_DISABLE_ITEM	Этот предмет нельзя улучшить.
REFINE_SUCCESS	Улучшение предмета прошло успешно.
REFINE_SUCCESS_PROBALITY	Шанс на улучшение: %d%%
REFINE_WARNING2	Продолжить?
RESTART_POPUP_GIVEUP_MIST_ISLAND	Вы пали в Битве пяти святынь. Вы возвращаетесь в деревню.
REVIVE_QUESTION	Хотите оживить %s? Число Призм пробуждения: %d шт.
REVIVE_SELF_QUESTION	Хотите провести оживление? Число Призм пробуждения: %d шт.
ROULETTE_REWARD_TEXT	Получить предмет
SAFEBOX_ERROR	Введён неверный пароль.
SAFEBOX_NEED_CHANGE_PASSWORD	Ваш пароль истек.\nВыберите новый.
SAFEBOX_SELL_DISABLE_SAFEITEM	Продажа сохраннёных предметов невозможна.
SAFEBOX_UNAVILABLE_PASSWORD_01	Вы не можете использовать этот пароль.
SAFEBOX_UNAVILABLE_PASSWORD_02	Пароль должен содержать не менее %d символов.
SAFEBOX_UNAVILABLE_PASSWORD_03	Вы ввели свой действующий пароль. Выберите новый.
SAFEBOX_UNAVILABLE_PASSWORD_04	Пароль не может содержать %d одинак. или идущ. подряд цифр(ы).
SAFEBOX_UNAVILABLE_PASSWORD_05	Специальные символы запрещены. Разрешены символы: a-z, A-Z, 0-9
SAFEBOX_WRONG_PASSWORD	Пароли должны быть идентичными.
SCREENSHOT_SAVE1	сохранен в
SCREENSHOT_SAVE2	Файл скриншота
SCREENSHOT_SAVE_FAILURE	Скриншот не сохранён.
SECOND	Сек
SECOND_CONFIRM_PET_FEED_QUESTION_1	У вашего предмета %d или более бонусов.
SECOND_CONFIRM_PET_FEED_QUESTION_2	Вы точно хотите скормить его вашему питомцу?
SECOND_CONFIRM_SELL_ITEM_QUESTION_1	У вашего предмета %d или более бонусов.
SECOND_CONFIRM_SELL_ITEM_QUESTION_2	Вы точно хотите скормить его вашему питомцу?
SELECT_ATTR_NOTICE	Вы не можете открыть лавку во время использования Зачаровать предмет+.
SELECT_ATTR_NOT_OPEN	Вы не можете использовать предмет Зачаровать предмет+ пока у вас открыта лавка.
SELECT_ATTR_NOT_SELECT	Выбирайте, желаете ли оставить старые бонусы или сменить их на новые.
SELECT_CAN_NOT_DELETE	Удаление персонажа невозможно.
SELECT_CAN_NOT_DELETE_ATTR67	Вы не можете удалить своего персонажа,\nпока добавляется бонус.
SELECT_CAN_NOT_DELETE_GUILD_MEMBER	Вы не можете удалить своего персонажа, пока он состоит в гильдии.
SELECT_CAN_NOT_DELETE_HAVE_SEALED_ITEM	Вы не можете удалить своего персонажа, ведь у него есть зачарованные оковами души предметы.
SELECT_CAN_NOT_DELETE_LAST_CHAR_SAFEBOX	Вы не можете удалить своего единственного персонажа, ведь у вас на складе еще есть предметы.
SELECT_CAN_NOT_DELETE_LIMITE_LEVEL	Вы может удалять персонажей только до 69 уровня.
SELECT_CAN_NOT_DELETE_MARRIAGE	Нельзя удалять женатого/замужнего персонажа.
SELECT_CAN_NOT_DELETE_PRIVATE_CODE_ERROR	Неверный код удаления.
SELECT_CAN_NOT_DELETE_REMAIN_TIME	Вы не можете удалить этого персонажа сразу после создания. Время ожидания: %s
SELECT_CHANGED_NAME	Вы изменили имя персонажа.
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	Персонаж с таким именем уже существует.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Попробуйте еще раз.
SELECT_CHANGE_FAILURE_STRANGE_NAME	Это неверное имя персонажа.
SELECT_CHANGE_NAME_TITLE	Изменить имя персонажа.
SELECT_DELEING	Персонаж будет удалён
SELECT_DELETED	Удаление прошло успешно.
SELECT_DO_YOU_DELETE_REALLY	Продолжить?
SELECT_EMPTY_SLOT	Это пустое поле.
SELECT_GM_NAME	ГМ
SELECT_INPUT_CHANGING_NAME	Введите новое имя персонажа.
SELECT_NOT_JOIN_GUILD	Гильдия отсутсвует
SERVER_NOTIFY_CLOSED	Закрытый сервер: могут войти только владельцы учетных записей с VIP-статусом или тех, что были созданы до закрытия.
SERVER_STATUS_CLOSE	ЗАКРЫТЫЙ
SERVER_STATUS_NEW	НОВЫЙ
SERVER_STATUS_SPECIAL	ОСОБЫЙ
SHOP_BUY_INFO	Выберите в окне магазина, предмет который хотите купить.
SHOP_CANNOT_SELL_EQUIPMENT	Вы не можете продать снаряженный предмет.
SHOP_CANNOT_SELL_ITEM	Этот предмет не продаётся.
SHOP_ERROR_UNKNOWN	Неизвестная ошибка магазина: %s
SHOP_EXCEED_LIMIT_TODAY	Вы уже превысили дневной лимит использования очков.
SHOP_INVALID_POS	Применить этот предмет невозможно.
SHOP_INVENTORY_FULL	В инвентаре нет свободного места.
SHOP_LIMITED_DATA_LOADING	Загружаются данные. Попробуйте еще раз позже!
SHOP_LIMITED_ITEM_REMAIN_COUNT	Осталось предметов: %d
SHOP_LIMITED_PURCHASE_OVER	Продано
SHOP_LIMIT_TODAY	Дневной лимит: %d / %d
SHOP_MY_BATTLE_POINT	Очки боя: %d
SHOP_MY_MEDAL_OF_HONOR	Медаль за храбрость: %d
SHOP_NOT_ENOUGH_10TH_COIN	У вас недостаточно юбилейных монет.
SHOP_NOT_ENOUGH_BATTLE_POINT	У вас недостаточно очков боя.
SHOP_NOT_ENOUGH_BNW	У вас не хватает монет провидца.
SHOP_NOT_ENOUGH_GUILD_LEVEL	Уровень гильдии слишком низкий.
SHOP_NOT_ENOUGH_MEDAL_OF_HONOR	Не хватает медалей за храбрость.
SHOP_NOT_ENOUGH_MONEY	Недостаточно вон или янг
SHOP_NOT_ENOUGH_MONEY_EX	У вас недостаточно янг.
SHOP_SELL_INFO	Выберите в окне инвентаря предмет, который хотите продать.
SHOP_SOLDOUT	Продано
SHOT_ERROR_UNKNOWN	Неизвестная ошибка дальней атаки: %s
SKILL_BLEEDING	Кровотечение
SKILL_BOHO	Отражать
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Вам необходим опыт, чтобы обучиться этому навыку.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Вам необходима книга, обучающая этому навыку.
SKILL_CHEONGEUN	Сильное тело.
SKILL_CRITICAL	Критический удар
SKILL_ENCHANT_POISON	Использовать яд
SKILL_EUNHYEONG	Невидимый
SKILL_FAINT	Головокружение
SKILL_FIND_TRAP	Искать западню
SKILL_FIRE	Сжечь
SKILL_FISHMIND	Рыба-шар активен
SKILL_GAMJI	взять
SKILL_GEOMGYEONG	Аура меча
SKILL_GICHEON	Помощь Дракона
SKILL_GIGONG	Циркуляция Ши
SKILL_GONGPO	Страх
SKILL_GRADE_NAME_GRAND_MASTER	%s Большой мастер
SKILL_GRADE_NAME_MASTER	%s Мастер
SKILL_GRADE_NAME_PERFECT_MASTER	%s  Великий мастер
SKILL_GROUP_ASSASSIN_1	Клинок
SKILL_GROUP_ASSASSIN_2	Лук
SKILL_GROUP_HORSE	Исскуство наездника
SKILL_GROUP_SHAMAN_1	Драконы
SKILL_GROUP_SHAMAN_2	Исцеление
SKILL_GROUP_SURA_1	Оружие
SKILL_GROUP_SURA_2	Магия
SKILL_GROUP_WARRIOR_1	Тело
SKILL_GROUP_WARRIOR_2	Умственный
SKILL_GWIGEOM	Заколдованный клинок
SKILL_GYEONGGONG	Легкая походка
SKILL_HEUKSIN	Защита тёмных сил
SKILL_HOSIN	Благословение
SKILL_INC_ATKSPD	Скорость атаки повышена
SKILL_INC_MOVSPD	Скорость движения повышена
SKILL_JEOJU	Заклинание
SKILL_JEONGEOP	Лечение
SKILL_JEONGWI	Берсерк
SKILL_JEONSINBANGEO	Полная защита
SKILL_JEONSINGONGGYEOK	Полная атака	
SKILL_JEUNGRYEOK	Атака+
SKILL_JEUNGSOK	Скорость+
SKILL_JUMAGAP	Заколдованная броня
SKILL_KWAESOK	Быстрота
SKILL_MUYEONG	Дух Огня
SKILL_NEED_EMPTY_BOTTLE	У меня нет пустого кувшина.
SKILL_NEED_POISON_BOTTLE	У меня нет бутылки с ядом.
SKILL_ONLY_FOR_GUILD_WAR	Вы  можете пользоваться этим навыком только в Войне Гильдий.
SKILL_PABEOP	Отменить волшебство.
SKILL_POWERFUL_STRIKE	Парализирующая атака
SKILL_SEOMGWANG	Бомба-молния
SKILL_SLEEP	Сон
SKILL_SLOW	Медленно
SKILL_STUN	Парализовать
SKILL_SUHO	Стражник
SKILL_SUMMON_DESCRIPTION	Шанс на вызов: %d%%
SKILL_TOOLTIP_INT	Интеллект
SKILL_TOOLTIP_LEVEL	Уровень
SKILL_TOXICDIE	Отравление
SKILL_TOXICPOWER	Показатель атаки ядом улучшен
SKILL_TUSOK	Удар Духа
SOUL_ITEM_TOOLTIP_APPLY	Эффект активирован
SOUL_ITEM_TOOLTIP_BLUE1	Время игры: %d/%d мин. 
SOUL_ITEM_TOOLTIP_BLUE2	По достижении времени игры урон навыков увеличивается в %.1f раза
SOUL_ITEM_TOOLTIP_COMMON	Не для: PvP, превращения
SOUL_ITEM_TOOLTIP_RED1	Время игры: %d/%d мин. 
SOUL_ITEM_TOOLTIP_RED2	По достижении времени игры урон от атаки увеличивается в %.1f раза
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Осталось атак: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Душа пропадет через
SOUL_ITEM_TOOLTIP_UNAPPLIED	Эффект не активирован
SOUL_REFINE_FAILURE	Развитие не удалось.
SOUL_REFINE_SUCCESS	Успешное развитие!
STAT_MINUS_CON	Регулировка здоровья (Остающ. шанс: %d)
STAT_MINUS_DEX	Регулировка подвижности ( Оставш. шанс: %d)
STAT_MINUS_INT	Регулировка интеллекта (Оставш. шанс:%d)
STAT_MINUS_STR	Регулировка силы (Оставш.шанс: %d)
STAT_TOOLTIP_CON	Повышает ХП и защиту
STAT_TOOLTIP_DEX	Повышает Атаку и Уклон
STAT_TOOLTIP_INT	Повышает МП, магическую атаку и магическую защиту.
STAT_TOOLTIP_STR	Повышает Показатель Атаки и Урон
SYMBOLLIST_TITLE	Регистрировать флаг Гильдии
TARGET_BUTTON_ACCEPT_FIGHT	Согласиться
TARGET_BUTTON_AVENGE	Отмщение
TARGET_BUTTON_BLOCK	Блокировать
TARGET_BUTTON_BLOCK_REMOVE	Разблокировать
TARGET_BUTTON_BUILDING_DESTROY	Разрушить
TARGET_BUTTON_DISMOUNT	Пасовать
TARGET_BUTTON_EMOTION_ALLOW	Эмоции
TARGET_BUTTON_EXCHANGE	Торговать
TARGET_BUTTON_EXCLUDE	Исключить
TARGET_BUTTON_EXIT_OBSERVER	Прервать Режим наблюдателя
TARGET_BUTTON_FIGHT	Поединок
TARGET_BUTTON_FRIEND	Друг
TARGET_BUTTON_INVITE_GUILD	Приглашение гильдии
TARGET_BUTTON_INVITE_PARTY	Пригласить
TARGET_BUTTON_LEAVE_PARTY	Покинуть группу
TARGET_BUTTON_REQUEST_ENTER_PARTY	Вступить в группу
TARGET_BUTTON_REVIVE	Оживить
TARGET_BUTTON_VIEW_EQUIPMENT	Снаряжение
TARGET_BUTTON_WHISPER	Шептание
TARGET_LEVEL_BOSS	Босс
TARGET_LEVEL_KING	Уровень 5.
TARGET_LEVEL_KNIGHT	Уровень 3.
TARGET_LEVEL_PAWN	Уровень 1.
TARGET_LEVEL_S_KNIGHT	Уровень 4.
TARGET_LEVEL_S_PAWN	Уровень 2.
TARGET_TOOLTIP_ATTACK_COUNT	Всего очков: %d
TASKBAR_ATTACK	Атаковать
TASKBAR_AUTO	Нападать автоматически
TASKBAR_CAMERA	Камера
TASKBAR_EXP	Опыт
TASKBAR_HP	ХП
TASKBAR_MOVE	Двигать
TASKBAR_SKILL	Навык
TASKBAR_SP	МП
TASKBAR_ST	СП
TENTH_COIN	Юбилейная(ые) монета(ы)
TENTH_EVENT_ASK_EXCHANGE	Нужно еще юбилейных флагов: %d. Хотите продолжить?
THING_COUNT	все
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Уменьшить урон	SNA
TOOLTIP_AFFECT_CONFUSION	Вы оглушены.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Уменьшить шанс на крит. удар	SNA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Метка Стражников	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Не удалось прервать Гидропоток.
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Снизить защиту	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Молния
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Бонус за золотого тунца	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Мокрая одежда\nСкорость передвижения -50	SNA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Души (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Ценные души (%d/150)	SA
TOOLTIP_AFFECT_MI_BUFF	Усиление за захват %s
TOOLTIP_AFFECT_MOUNT_FALL	Падение с ездового животного	SNA
TOOLTIP_AFFECT_POLYMORPH	Превращение	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Увеличить время перезарядки	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Сопротивление урону от навыков +15% | Сопротивление урону от обычных атак +15%
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Эликсир Исследователя	SNA
TOOLTIP_AFFECT_RHP_REGEN	Отдыхать нельзя	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Бонус склада\n +3% к опыту	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Бонус склада\n+20 к защите	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Бонус склада\n+1% к очкам жизн. энергии	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Бонус склада\n+3% к силе против монстров	SNA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	При малом числе очков рейтинга повышается наносимый урон.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Сопротивление критическим ударам +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Сопротивление пронзающим ударам +%d%%	SA
TOOLTIP_ANTI_SELL	В магазине не продаётся.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Доля поглощения: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Сила против зверей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Сила против Ниндзя +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Надлом защиты от колокольчиков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Надлом защиты от стрел +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Надлом защиты от когтей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Сила против зодиак-монстров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Надлом защиты от кинжалов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Сила против монстров пустыни +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Сила против Дьявола +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Надлом защиты от вееров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Сила против  Полулюдей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Сила против насекомых +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Сила против Мистиков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Сила против Монстров +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Сила против Орков +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Сила против Шаманов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Сила против Сура +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Надлом защиты от мечей +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Надлом защиты от двуручного оружия +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Сила против Нежити +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Сила против Воинов +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Сила против ликана + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Вызвать кровотечение + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Сопротивление кровотечению + %d%%	SA
TOOLTIP_APPLY_BLOCK	Шанс на блокацию физической атаки %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Восстановление МП в бою каждые 5 Сек. %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	%d%% шансов на Критический удар	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% шансов восстановить МП при попадании	SA
TOOLTIP_APPLY_DODGE	Шанс на увернуться от стрелы %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Сила тьмы +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Сила тьмы +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Сила земли +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Сила земли +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Сила молний +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Сила молний +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Сила огня +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Сила огня +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Сила льда +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Сила льда +%d%% ~ +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Сила ветра +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Сила ветра +%d%% ~ +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% шансов на бонус к опыту	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% шансов выбросить вдвое больше янг	SA
TOOLTIP_APPLY_IMMUNE_FALL	Иммунный против падения	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Защита от замедления	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Защита от головокружения	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% шансов выбросить вдвое больше предметов	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% шансов восстановить ХП	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% шансов восстановить МП	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% шансов забрать MP противника	SA
TOOLTIP_APPLY_MAX_HP_PCT	Макс. ХП +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Макс. МП +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Без результата	
TOOLTIP_APPLY_NO_DEATH_PENALTY	Отсутствие потери опыта в случае смерти.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	Бог-Дракон распростер над вами свои крылья. Когда вас оживляют на борту, вы не теряете очки опыта.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% шансов на нанесение пронзающего удара	SA
TOOLTIP_APPLY_POISON_PCT	Шансы на отравление :%d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Сопротивление яду %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Зелье %d%% рост эффекта	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% шансов отразить заклинание	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%%  шансов отразить физическую атаку	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Шансы на отражение Ниндзя %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Защита от удара колокольчиком  %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Защита от когтей + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Защита от удара кинжалом %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Защита от удара веером %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Сопротивляемость полулюдям%d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Сопротивляемость к падению +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Шансы на отражение атаки Шаманов  %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Шансы на отражение атаки Сура %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Защита от удара мечом %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Защита от двуручного оружия %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Шансы на отражение атак Воинов %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Сопротивляемость ветру %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Шанс отразить атаку ликана %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Шансы при обучении по книгам увеличены в 2,5 раза	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Если обучение не удалось, Вы можете тут же попробовать еще раз.	SNA
TOOLTIP_APPLY_SLOW_PCT	Шансы на замедление: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Урон %d%% добавляется к ХП.	SA
TOOLTIP_APPLY_STEAL_SP	Урон %d%% добавляется к МП.	SA
TOOLTIP_APPLY_STUN_PCT	Шансы на головокружение:  %d%%	SA
TOOLTIP_ARMOR	Броня
TOOLTIP_ARROW	Стрела
TOOLTIP_ASSASSIN	Ниндзя
TOOLTIP_ATTBONUS_STONE	+%d%% силы против камней метина	SA
TOOLTIP_ATT_GRADE	Показатель атаки +%d	SA
TOOLTIP_ATT_SPEED	Скорость атаки +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Скорость атаки снижена	SNA
TOOLTIP_AUTO_POTION_HP	Эликсир солнца
TOOLTIP_AUTO_POTION_REST	Остаток: %.2f%%
TOOLTIP_AUTO_POTION_SP	Эликсир луны
TOOLTIP_AUTO_POTION_USING	Активен
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Автоохота	SNA
TOOLTIP_BATTLE_POTION	Боевое зелье для поля боя	SNA
TOOLTIP_BOW_DISTANCE	Диапазон стрельбы +%dm	SA
TOOLTIP_BUYPRICE	Цена: %s
TOOLTIP_CAST_SPEED	Скорость заклинания +%d%%	SA
TOOLTIP_CON	Здоровье +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Бонус костюма %d%%	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Превращает %d%% полученного урона в ХП	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Превращает %d%% полученного урона в МП	SA
TOOLTIP_DEF_GRADE	Защита +%d	SA
TOOLTIP_DEX	Подвижность+%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Небеса	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Земля	SNA
TOOLTIP_DS_SET	Эффект за набор КД	SNA
TOOLTIP_EAR	Серьги
TOOLTIP_ENERGY	Энергия %d	SA
TOOLTIP_ETC	и т.д.
TOOLTIP_EXP_BONUS_EVENT	Опыт +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5-й добавленный бонус +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1-й добавленный бонус +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Очки: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Уровень:  %d
TOOLTIP_FISHINGROD_UPGRADE1	Отдать рыбаку,
TOOLTIP_FISHINGROD_UPGRADE2	чтобы получить
TOOLTIP_FISHINGROD_UPGRADE3	улучшеное удилище.
TOOLTIP_FISH_LEN	Длина: %.2f см.
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4-й добавленный бонус +%d%%	SA
TOOLTIP_GUILD_SKILL_ACCEL	Ускорение +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Благословение Бога-Дракона +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Кровь Бога-Дракона +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Ярость Бога-Дракона +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Помощь сотворения заклинаний +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Священная защита +%d	SA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% к опыту | +5% к выпадению предметов | +10% к силе против монстров	SNA
TOOLTIP_HELMET	Шлем
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Получите на %d сек. в бою силу тьмы	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Получите на %d сек. в бою силу земли	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Получите на %d сек. в бою силу молний	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Получите на %d сек. в бою силу огня	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Получите на %d сек. в бою силу льда	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Получите на %d сек. в бою силу ветра	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Получите на %d сек. в бою сопротивляемость тьме	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Получите на %d сек. в бою сопротивляемость земле	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Получите на %d сек. в бою сопротивляемость молниям	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Получите на %d сек. в бою сопротивляемость огню	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Получите на %d сек. в бою сопротивляемость льду	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Получите на %d сек. в бою сопротивляемость ветру	SA
TOOLTIP_HP_REGEN	ХП-регенерация +%d%%	SA
TOOLTIP_INT	Интеллект +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Показатель атаки %d
TOOLTIP_ITEM_ATT_POWER	Показатель атаки %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Показатель атаки  %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Показатель атаки %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Скорость атаки %s
TOOLTIP_ITEM_DEF_GRADE	Защита %d
TOOLTIP_ITEM_FAST	Быстро
TOOLTIP_ITEM_LIMIT_CON	Предел здоровья: %d
